,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STRATA,GQ,PERNUM,PERWT,SEX,AGE,MARST,BIRTHYR,DIVINYR,WIDINYR,RACE,RACED,BPL,BPLD,HCOVPRIV,HINSCAID,HINSCARE,EDUC,EDUCD,EMPSTAT,EMPSTATD,LABFORCE,WKSWORK2,UHRSWORK,INCTOT,INCWAGE
1650997,2021,202101,726741,2021000456621,83.0,2021007267411,20028,1,1,83.0,2,22,1,1999,1,1,1,100,28,2800,2,1,1,7,71,1,10,2,6,40,30000,30000
3071997,2021,202101,1360901,2021001101684,88.0,2021013609011,5108951,1,1,88.0,2,35,1,1986,1,1,1,100,51,5100,2,1,1,11,114,1,10,2,6,32,48000,48000
1850654,2021,202101,815788,2021000663202,239.0,2021008157881,140234,1,2,173.0,2,42,1,1979,1,1,1,100,27,2700,2,1,1,11,115,1,10,2,6,55,300000,300000
841445,2021,202101,361779,2021001281921,22.0,2021003617791,710312,1,1,22.0,2,52,4,1969,1,1,1,100,12,1200,1,2,1,6,64,1,10,2,6,40,62000,62000
2245388,2021,202101,995409,2021000114915,60.0,2021009954091,91039,1,2,37.0,2,62,1,1959,1,1,1,100,39,3900,2,1,1,10,101,1,10,2,6,25,23000,23000
1247804,2021,202101,544151,2021010146441,22.0,2021005441511,230021,3,1,22.0,2,65,5,1956,1,1,1,100,18,1800,1,2,2,3,30,3,30,1,0,0,0,0
2032432,2021,202101,897695,2021000770011,84.0,2021008976951,400836,1,6,56.0,1,25,2,1996,1,1,6,664,521,52110,1,2,2,0,2,3,30,1,0,0,0,0
1912293,2021,202101,841078,2021000994149,34.0,2021008410781,80235,1,2,30.0,2,38,1,1983,1,1,1,100,35,3500,2,1,1,11,114,1,10,2,6,40,62000,62000
2067823,2021,202101,912412,2021001040549,66.0,2021009124121,370636,1,2,51.0,1,58,6,1963,0,0,7,700,36,3600,1,2,1,6,64,1,10,2,1,40,22050,21500
1577055,2021,202101,693219,2021001312215,135.0,2021006932191,290126,1,1,134.0,1,49,1,1972,1,1,1,100,453,45300,2,1,1,11,115,1,10,2,6,50,140860,140000
1571740,2021,202101,690952,2021001232472,75.0,2021006909521,240026,1,2,65.0,1,63,1,1958,1,1,1,100,26,2600,2,1,1,6,63,1,10,2,6,10,26000,1900
826393,2021,202101,355216,2021001170685,41.0,2021003552161,1030212,1,4,53.0,1,16,6,2005,0,0,1,100,12,1200,2,1,1,4,40,3,30,1,0,0,0,0
2580420,2021,202101,1147866,2021000188039,56.0,2021011478661,60445,1,2,60.0,1,72,1,1949,1,1,1,100,45,4500,2,1,2,6,63,1,10,2,6,34,59600,25000
2944274,2021,202101,1306257,2021001309008,47.0,2021013062571,450348,1,2,62.0,2,40,1,1981,1,1,8,826,438,43800,2,1,1,10,101,3,30,1,0,0,0,0
2697217,2021,202101,1200430,2021001327284,66.0,2021012004301,50047,1,3,62.0,1,12,6,2009,0,0,1,100,37,3700,2,1,1,2,23,0,0,0,0,0,9999999,999999
474697,2021,202101,199506,2021001145700,55.0,2021001995061,950106,1,2,53.0,2,25,6,1996,0,0,1,100,6,600,2,1,1,10,101,1,10,2,6,40,30000,30000
2178817,2021,202101,962679,2021000781253,263.0,2021009626791,310137,1,2,321.0,1,20,6,2001,0,0,7,700,34,3400,2,1,1,6,63,1,10,2,6,35,28800,28800
1367978,2021,202101,599872,2021000372765,230.0,2021005998721,100124,1,3,402.0,2,28,6,1993,0,0,2,200,24,2400,2,1,1,10,101,1,10,2,6,45,78000,78000
