,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STRATA,GQ,PERNUM,PERWT,SEX,AGE,MARST,BIRTHYR,DIVINYR,WIDINYR,RACE,RACED,BPL,BPLD,HCOVPRIV,HINSCAID,HINSCARE,EDUC,EDUCD,EMPSTAT,EMPSTATD,LABFORCE,WKSWORK2,UHRSWORK,INCTOT,INCWAGE
2965498,2021,202101,1315481,2021000047827,90.0,2021013154811,1100149,1,1,91.0,2,73,1,1948,1,1,1,100,49,4900,1,1,2,6,65,3,30,1,0,0,25900,0
1641519,2021,202101,722032,2021010066797,68.0,2021007220321,130028,3,1,68.0,2,88,5,1933,1,1,1,100,28,2800,1,2,2,6,63,3,30,1,0,0,11600,0
259948,2021,202101,120018,2021000322824,54.0,2021001200181,10906,1,3,45.0,1,17,6,2004,0,0,6,610,6,600,2,1,1,4,40,3,30,1,0,0,0,0
564414,2021,202101,234999,2021000434406,56.0,2021002349991,80308,1,1,56.0,1,44,2,1977,1,1,1,100,48,4800,2,1,1,10,101,1,10,2,6,40,138000,118000
1157730,2021,202101,502205,2021000845889,75.0,2021005022051,300018,1,1,75.0,2,74,1,1947,1,1,1,100,18,1800,1,1,1,6,63,3,30,1,0,0,0,0
1809843,2021,202101,799786,2021000013655,72.0,2021007997861,90234,1,3,70.0,1,6,6,2015,0,0,6,610,34,3400,2,1,1,1,12,0,0,0,0,0,9999999,999999
826358,2021,202101,355201,2021001170485,135.0,2021003552011,330112,1,4,116.0,1,5,6,2016,0,0,8,826,12,1200,1,1,1,1,12,0,0,0,0,0,9999999,999999
388848,2021,202101,167737,2021000815694,74.0,2021001677371,950106,1,2,91.0,2,66,1,1955,1,1,6,600,515,51500,2,1,2,10,101,1,10,2,6,38,66000,12000
3205367,2021,202101,1420438,2021000402850,196.0,2021014204381,1000055,1,1,196.0,2,37,6,1984,0,0,1,100,55,5500,2,1,1,10,101,1,10,2,6,40,53000,53000
2690004,2021,202101,1197358,2021001176365,82.0,2021011973581,190047,1,3,71.0,1,8,6,2013,0,0,1,100,47,4700,1,2,1,1,14,0,0,0,0,0,9999999,999999
216959,2021,202101,103956,2021000156559,90.0,2021001039561,370506,1,2,128.0,1,59,4,1962,1,1,7,700,6,600,1,1,1,7,71,3,30,1,1,8,240,240
1421588,2021,202101,624655,2021000089275,94.0,2021006246551,420025,1,2,112.0,1,48,1,1973,1,1,1,100,25,2500,2,1,1,11,114,1,10,2,6,45,130000,130000
2761328,2021,202101,1233877,2021000264825,113.0,2021012338771,462548,1,2,135.0,2,33,1,1988,1,1,2,200,48,4800,2,1,1,10,101,1,10,2,6,45,44000,44000
1988838,2021,202101,879790,2021000444326,35.0,2021008797901,270136,1,2,41.0,1,81,1,1940,1,1,1,100,55,5500,2,1,2,11,114,3,30,1,6,20,12400,0
1023636,2021,202101,443867,2021000333904,47.0,2021004438671,10417,1,2,20.0,2,18,6,2003,0,0,1,100,18,1800,1,2,1,6,63,1,10,2,6,40,13000,13000
1223167,2021,202101,532381,2021000253396,58.0,2021005323811,130120,1,1,57.0,2,64,1,1957,1,1,1,100,20,2000,2,1,1,6,63,1,10,2,6,15,120000,0
1004003,2021,202101,435586,2021000106642,55.0,2021004355861,280117,1,2,62.0,1,71,1,1950,1,1,2,200,260,26030,2,1,2,8,81,3,30,1,0,0,80000,0
1327923,2021,202101,580155,2021001165008,64.0,2021005801551,240222,1,3,92.0,2,17,2,2004,1,1,2,200,22,2200,2,1,1,6,61,3,30,1,0,0,1300,0
1904471,2021,202101,837719,2021000380002,59.0,2021008377191,110035,1,2,48.0,2,80,1,1941,1,1,1,100,47,4700,2,1,2,10,101,3,30,1,0,0,15700,0
2290931,2021,202101,1015301,2021000674496,68.0,2021010153011,90439,1,2,63.0,1,83,2,1938,1,1,1,100,39,3900,2,1,2,6,63,3,30,1,0,0,400,0
2473065,2021,202101,1099447,2021000406772,103.0,2021010994471,50042,1,3,89.0,2,26,6,1995,0,0,1,100,34,3400,2,1,1,8,81,1,10,2,1,25,3000,3000
1872053,2021,202101,824229,2021001001974,7.0,2021008242291,240034,1,4,18.0,2,13,6,2008,0,0,2,200,34,3400,2,1,1,2,25,0,0,0,0,0,9999999,999999
3153124,2021,202101,1396173,2021001124627,308.0,2021013961731,1150453,1,2,312.0,2,69,1,1952,1,1,1,100,53,5300,1,1,2,7,71,1,10,2,4,36,82100,51000
330056,2021,202101,146030,2021000593526,186.0,2021001460301,711506,1,4,156.0,2,14,6,2007,0,0,2,200,6,600,2,1,1,2,26,0,0,0,0,0,9999999,999999
1922394,2021,202101,847919,2021010058576,126.0,2021008479191,330536,3,1,126.0,1,36,6,1985,0,0,2,200,36,3600,1,2,1,6,63,3,30,1,0,0,0,0
413433,2021,202101,176879,2021000911239,61.0,2021001768791,590606,1,1,61.0,1,68,4,1953,1,1,1,100,6,600,1,1,2,10,101,3,30,1,0,0,24000,0
3212874,2021,202101,1423665,2021000586562,161.0,2021014236651,4100355,1,1,161.0,2,44,6,1977,0,0,2,200,55,5500,2,2,1,8,81,3,30,1,0,0,800,0
1775059,2021,202101,782725,2021000603353,54.0,2021007827251,20032,1,2,123.0,1,52,6,1969,0,0,1,100,29,2900,1,2,1,6,63,3,30,1,0,0,0,0
2688784,2021,202101,1196820,2021001149252,103.0,2021011968201,20047,1,5,95.0,2,15,6,2006,0,0,1,100,47,4700,2,1,1,3,30,0,0,0,0,0,0,999999
189047,2021,202101,93542,2021000049643,24.0,2021000935421,290406,1,1,24.0,1,55,1,1966,1,1,6,680,15,1500,2,1,1,6,63,3,30,1,0,0,30000,0
898446,2021,202101,389487,2021000509946,433.0,2021003894871,450013,1,1,433.0,1,47,1,1974,1,1,8,826,200,20000,2,1,1,4,40,1,10,2,6,40,64000,64000
3236895,2021,202101,1433999,2021001170274,307.0,2021014339991,2000055,1,2,241.0,1,47,1,1974,1,1,1,100,55,5500,2,1,1,10,101,1,10,2,6,40,130000,130000
2321079,2021,202101,1028399,2021001049754,82.0,2021010283991,400039,1,1,82.0,1,40,1,1981,1,1,1,100,39,3900,2,1,1,11,114,1,10,2,6,40,130000,130000
608891,2021,202101,255012,2021000134861,45.0,2021002550121,110109,1,1,46.0,2,90,4,1931,1,1,1,100,25,2500,2,1,2,11,114,3,30,1,0,0,51600,0
2404059,2021,202101,1065910,2021000507218,264.0,2021010659101,90241,1,3,507.0,1,16,6,2005,0,0,7,700,41,4100,1,1,1,3,30,3,30,1,0,0,0,0
131218,2021,202101,59836,2021000036823,78.0,2021000598361,160005,1,1,78.0,1,82,6,1939,0,0,1,100,55,5500,2,1,2,7,71,3,30,1,0,0,46780,0
2019726,2021,202101,892500,2021000676066,108.0,2021008925001,310336,1,1,108.0,1,70,1,1951,1,1,1,100,36,3600,2,1,2,10,101,3,30,1,1,2,37600,0
1953284,2021,202101,865106,2021000176503,55.0,2021008651061,260036,1,2,54.0,1,76,1,1945,1,1,1,100,36,3600,1,2,2,2,26,3,30,1,0,0,9000,0
2827038,2021,202101,1259956,2021000643395,90.0,2021012599561,370048,1,1,90.0,2,51,1,1970,1,1,1,100,48,4800,2,1,1,10,101,1,10,2,6,40,74600,65000
1408568,2021,202101,616269,2021001330926,60.0,2021006162691,110524,1,2,58.0,2,31,1,1990,1,1,1,100,6,600,2,2,1,10,101,3,30,1,0,0,2000,0
2944774,2021,202101,1306443,2021001311347,116.0,2021013064431,360148,1,1,116.0,2,21,6,2000,0,0,1,100,48,4800,1,2,1,6,65,1,10,2,2,12,3200,3200
2742278,2021,202101,1226412,2021000158088,88.0,2021012264121,591248,1,2,88.0,2,37,1,1984,1,1,8,826,200,20000,2,1,1,6,64,1,10,2,6,40,25000,25000
760380,2021,202101,326481,2021000690290,60.0,2021003264811,570512,1,3,65.0,1,16,6,2005,0,0,2,200,12,1200,2,1,1,3,30,3,30,1,0,0,0,0
3228538,2021,202101,1430382,2021000965076,327.0,2021014303821,1000055,1,1,327.0,2,33,6,1988,0,0,1,100,17,1700,1,2,1,8,81,3,30,1,0,0,0,0
118037,2021,202101,53629,2021001195540,126.0,2021000536291,10104,1,1,127.0,1,57,1,1964,1,1,1,100,36,3600,2,1,1,10,101,1,10,2,6,28,60000,60000
598302,2021,202101,249306,2021001287346,46.0,2021002493061,10308,1,2,45.0,2,74,1,1947,1,1,1,100,19,1900,2,1,2,10,101,3,30,1,0,0,36000,0
2415554,2021,202101,1070779,2021000900378,53.0,2021010707791,60041,1,2,90.0,1,31,1,1990,1,1,1,100,41,4100,1,2,1,7,71,3,30,1,0,0,0,0
1807771,2021,202101,798258,2021010106456,93.0,2021007982581,40034,4,1,93.0,1,63,5,1958,1,1,2,200,34,3400,1,2,1,0,2,3,30,1,0,0,14700,0
1235174,2021,202101,537543,2021000869242,122.0,2021005375431,30020,1,3,131.0,1,3,6,2018,0,0,6,664,26,2600,2,1,1,0,2,0,0,0,0,0,9999999,999999
2070067,2021,202101,913321,2021001056587,83.0,2021009133211,110236,1,2,111.0,2,64,1,1957,1,1,1,100,36,3600,1,2,1,8,81,2,20,2,1,40,26300,1900
965347,2021,202101,416943,2021000796191,44.0,2021004169431,30415,1,5,38.0,2,92,5,1929,1,1,5,500,15,1500,1,1,2,6,63,3,30,1,0,0,26200,0
2005974,2021,202101,886859,2021000575202,73.0,2021008868591,410836,1,5,141.0,2,6,6,2015,0,0,1,100,36,3600,1,2,1,1,12,0,0,0,0,0,9999999,999999
2735307,2021,202101,1223674,2021000118955,384.0,2021012236741,530448,1,2,344.0,1,32,6,1989,0,0,8,826,210,21050,1,1,1,2,23,1,10,2,6,35,15000,15000
879346,2021,202101,381563,2021000208214,147.0,2021003815631,80013,1,4,147.0,2,62,5,1959,1,1,1,100,13,1300,1,2,1,7,71,1,10,2,6,20,33000,18000
877970,2021,202101,381005,2021000187574,80.0,2021003810051,130013,1,3,55.0,2,14,6,2007,0,0,1,100,13,1300,2,1,1,2,26,0,0,0,0,0,9999999,999999
1306574,2021,202101,570813,2021000443813,43.0,2021005708131,140022,1,3,122.0,2,13,6,2008,0,0,2,200,22,2200,1,2,1,2,23,0,0,0,0,0,9999999,999999
2492892,2021,202101,1107977,2021000635022,86.0,2021011079771,270242,1,1,86.0,1,42,6,1979,0,0,1,100,42,4200,2,1,1,6,63,1,10,2,1,50,26000,26000
1728764,2021,202101,762068,2021001344539,74.0,2021007620681,30029,1,2,61.0,1,66,1,1955,1,1,1,100,29,2900,2,1,2,6,63,3,30,1,0,0,16500,0
2314961,2021,202101,1025754,2021000975187,54.0,2021010257541,430039,1,1,54.0,1,74,1,1947,1,1,1,100,39,3900,1,1,2,3,30,3,30,1,0,0,22000,0
2327923,2021,202101,1031387,2021001136914,60.0,2021010313871,550239,1,3,57.0,1,10,6,2011,0,0,1,100,39,3900,2,2,1,1,16,0,0,0,0,0,9999999,999999
3241787,2021,202101,1436098,2021001293380,315.0,2021014360981,90055,1,3,353.0,2,20,6,2001,0,0,1,100,55,5500,2,1,1,7,71,3,30,1,0,0,0,0
1818748,2021,202101,803291,2021000155372,66.0,2021008032911,30334,1,3,56.0,2,41,2,1980,1,1,6,620,36,3600,2,1,1,10,101,1,10,2,6,30,50000,50000
1122533,2021,202101,487262,2021000071393,80.0,2021004872621,80018,1,2,109.0,2,46,1,1975,1,1,1,100,18,1800,2,1,1,6,65,1,10,2,6,37,22000,22000
3091719,2021,202101,1369850,2021010060763,113.0,2021013698501,1150353,4,1,113.0,1,21,6,2000,0,0,1,100,6,600,2,1,1,6,65,1,14,2,6,40,30000,30000
2820403,2021,202101,1257298,2021000604294,79.0,2021012572981,460748,1,2,71.0,2,28,6,1993,0,0,8,826,48,4800,2,1,1,10,101,1,10,2,6,40,35000,35000
1935926,2021,202101,857938,2021000044986,73.0,2021008579381,401036,1,1,72.0,1,45,6,1976,0,0,2,200,36,3600,1,1,1,6,63,1,10,2,4,40,31800,31800
154391,2021,202101,69679,2021001186304,89.0,2021000696791,40005,1,5,62.0,2,9,6,2012,0,0,1,100,5,500,1,2,1,1,16,0,0,0,0,0,9999999,999999
1787856,2021,202101,788015,2021001227527,23.0,2021007880151,10132,1,8,12.0,1,8,6,2013,0,0,6,682,710,71023,2,1,1,1,16,0,0,0,0,0,9999999,999999
1527727,2021,202101,671996,2021000574701,99.0,2021006719961,10026,1,2,105.0,2,56,1,1965,1,1,1,100,26,2600,2,1,1,6,63,1,10,2,3,50,43400,26000
2182071,2021,202101,964103,2021000829830,214.0,2021009641031,360037,1,1,214.0,1,63,5,1958,1,1,1,100,12,1200,2,1,1,6,63,1,10,2,6,55,72000,72000
3169850,2021,202101,1403395,2021010155580,82.0,2021014033951,80054,4,1,82.0,2,19,6,2002,0,0,1,100,54,5400,2,1,1,6,65,3,30,1,0,0,0,0
2928937,2021,202101,1300179,2021001223748,46.0,2021013001791,400048,1,1,47.0,1,39,1,1982,1,1,1,100,48,4800,2,1,1,10,101,1,10,2,6,55,29000,29000
772609,2021,202101,331744,2021000778599,392.0,2021003317441,310512,1,1,392.0,1,37,1,1984,1,1,6,610,521,52100,2,1,1,11,114,1,10,2,6,30,85000,85000
2477538,2021,202101,1101378,2021000458682,20.0,2021011013781,110042,1,1,21.0,2,56,1,1965,1,1,1,100,23,2300,2,1,1,11,114,3,30,1,3,35,47500,18000
3098559,2021,202101,1373805,2021000097437,78.0,2021013738051,1170253,1,3,59.0,2,2,6,2019,0,0,1,100,53,5300,2,1,1,0,1,0,0,0,0,0,9999999,999999
866497,2021,202101,376326,2021000011987,32.0,2021003763261,130013,1,1,32.0,2,54,5,1967,1,1,2,200,13,1300,2,1,1,6,63,1,10,2,6,40,57000,57000
1646515,2021,202101,724758,2021000213689,141.0,2021007247581,10028,1,2,128.0,2,56,1,1965,1,1,1,100,47,4700,2,1,1,7,71,1,10,2,6,60,100000,100000
2160185,2021,202101,954571,2021000515979,49.0,2021009545711,430037,1,2,69.0,1,62,1,1959,1,1,2,200,36,3600,2,2,1,7,71,3,30,1,0,0,5500,0
3086111,2021,202101,1366807,2021001340433,83.0,2021013668071,5124551,1,3,104.0,2,31,6,1990,0,0,1,100,51,5100,2,1,1,11,114,1,10,2,6,40,52000,52000
2366850,2021,202101,1049210,2021000590812,141.0,2021010492101,100540,1,4,153.0,1,11,6,2010,0,0,1,100,40,4000,2,1,1,2,22,0,0,0,0,0,9999999,999999
1165297,2021,202101,505467,2021001005368,112.0,2021005054671,130018,1,2,189.0,2,80,1,1941,1,1,1,100,18,1800,2,2,2,6,63,3,30,1,0,0,50000,0
1267514,2021,202101,552672,2021000642077,79.0,2021005526721,60021,1,2,59.0,1,45,1,1976,1,1,1,100,18,1800,2,1,1,7,71,1,10,2,6,40,60000,60000
579937,2021,202101,241525,2021000820806,118.0,2021002415251,80108,1,1,119.0,1,53,4,1968,1,1,1,100,48,4800,2,1,1,6,65,1,10,2,6,45,84000,84000
38041,2021,202101,18131,2021001063934,33.0,2021000181311,140001,1,3,105.0,2,43,4,1978,1,1,1,100,28,2800,2,1,1,6,63,1,10,2,3,40,14500,12000
3196094,2021,202101,1416443,2021000174292,37.0,2021014164431,10255,1,2,42.0,2,25,1,1996,1,1,1,100,55,5500,2,1,1,8,81,1,10,2,1,40,30000,30000
1155154,2021,202101,501125,2021000789007,77.0,2021005011251,330018,1,3,60.0,1,19,6,2002,0,0,8,826,12,1200,1,1,1,3,30,1,10,2,1,50,29100,29100
746398,2021,202101,320383,2021000587132,54.0,2021003203831,50012,1,2,52.0,2,52,1,1969,1,1,1,100,1,100,2,1,1,7,71,3,30,1,0,0,7600,0
177120,2021,202101,89135,2021000003812,29.0,2021000891351,372006,1,1,30.0,2,82,1,1939,1,1,1,100,6,600,2,1,2,7,71,3,30,1,0,0,3300,0
1658815,2021,202101,730098,2021000856116,89.0,2021007300981,30028,1,1,90.0,1,87,1,1934,1,1,1,100,28,2800,2,1,2,11,114,3,30,1,0,0,27300,0
726266,2021,202101,311579,2021000440598,66.0,2021003115791,890012,1,2,40.0,2,53,4,1968,1,1,8,802,12,1200,1,1,1,6,63,3,30,1,0,0,0,0
795590,2021,202101,341752,2021000945279,104.0,2021003417521,230012,1,5,51.0,1,4,6,2017,0,0,8,802,12,1200,1,2,1,1,11,0,0,0,0,0,9999999,999999
240502,2021,202101,112712,2021000246807,38.0,2021001127121,730706,1,2,38.0,2,39,1,1982,1,1,1,100,6,600,2,1,1,6,63,1,10,2,3,40,30800,30800
3072462,2021,202101,1361099,2021001108352,72.0,2021013610991,5113551,1,1,72.0,1,74,6,1947,0,0,1,100,51,5100,2,1,2,4,40,1,10,2,6,40,36100,24000
44055,2021,202101,20738,2021001240077,127.0,2021000207381,30101,1,2,198.0,1,14,6,2007,0,0,2,200,1,100,2,1,1,2,26,0,0,0,0,0,9999999,999999
2423690,2021,202101,1074242,2021001185728,29.0,2021010742421,80041,1,2,30.0,2,25,1,1996,1,1,1,100,4,400,1,2,1,8,81,3,30,1,0,0,1700,0
777811,2021,202101,333987,2021000815624,135.0,2021003339871,50012,1,3,203.0,1,44,1,1977,1,1,1,100,1,100,2,1,1,6,63,1,10,2,6,40,36000,36000
1391047,2021,202101,609206,2021000916189,260.0,2021006092061,110724,1,1,259.0,2,73,5,1948,1,1,2,200,37,3700,2,1,2,7,71,3,30,1,0,0,3400,0
3091375,2021,202101,1369506,2021010043556,73.0,2021013695061,1160553,3,1,73.0,2,93,2,1928,1,1,1,100,20,2000,1,2,2,6,65,3,30,1,0,0,32100,0
1172115,2021,202101,508372,2021001152359,119.0,2021005083721,230418,1,3,83.0,2,23,1,1998,1,1,1,100,18,1800,1,1,1,8,81,3,30,1,0,0,0,0
593300,2021,202101,247214,2021001164948,177.0,2021002472141,10308,1,1,176.0,2,44,1,1977,1,1,1,100,49,4900,2,1,1,7,71,3,30,1,0,0,3000,0
2555371,2021,202101,1134986,2021001361365,70.0,2021011349861,160042,1,1,70.0,2,74,4,1947,1,1,1,100,453,45300,2,1,2,6,61,3,30,1,0,0,18200,0
1955992,2021,202101,866213,2021000196837,291.0,2021008662131,410436,1,1,291.0,2,74,1,1947,1,1,1,100,36,3600,2,1,2,8,81,3,30,1,0,0,73600,0
1241834,2021,202101,540416,2021001223807,134.0,2021005404161,20020,1,1,133.0,1,37,6,1984,0,0,1,100,31,3100,2,1,1,11,115,1,10,2,6,50,185000,145000
2385687,2021,202101,1057035,2021001330335,109.0,2021010570351,160140,1,2,106.0,2,35,1,1986,1,1,1,100,40,4000,2,1,1,8,81,1,10,2,6,40,29000,29000
2068085,2021,202101,912523,2021001042705,56.0,2021009125231,90436,1,2,48.0,1,75,1,1946,1,1,1,100,36,3600,2,1,2,6,65,3,30,1,0,0,15000,0
1627981,2021,202101,715963,2021001079220,66.0,2021007159631,60027,1,3,134.0,2,17,6,2004,0,0,1,100,27,2700,2,1,1,5,50,3,30,1,2,20,5000,0
3006508,2021,202101,1332518,2021010103831,33.0,2021013325181,5930351,3,1,33.0,1,26,6,1995,0,0,2,200,11,1100,1,1,1,6,64,3,30,1,0,0,0,0
366764,2021,202101,159657,2021000733113,47.0,2021001596571,591806,1,3,52.0,1,13,6,2008,0,0,4,400,6,600,2,1,1,2,25,0,0,0,0,0,9999999,999999
2494612,2021,202101,1108714,2021000654329,28.0,2021011087141,270142,1,3,24.0,2,22,6,1999,0,0,1,100,42,4200,2,1,1,10,101,3,30,1,1,6,6190,190
17188,2021,202101,8987,2021000433778,21.0,2021000089871,220001,1,3,87.0,1,45,6,1976,0,0,2,200,1,100,1,1,2,6,61,3,30,1,0,0,0,0
3184795,2021,202101,1410048,2021001270352,172.0,2021014100481,90054,1,2,156.0,2,66,1,1955,1,1,1,100,54,5400,1,1,2,6,64,3,30,1,0,0,9100,0
2552960,2021,202101,1133954,2021001334123,53.0,2021011339541,390042,1,1,53.0,1,57,1,1964,1,1,1,100,42,4200,2,1,1,6,65,3,30,1,0,0,141000,0
445059,2021,202101,188526,2021001032077,132.0,2021001885261,650506,1,1,132.0,2,46,4,1975,1,1,8,826,6,600,1,2,1,8,81,1,10,2,6,25,32000,30000
346685,2021,202101,152263,2021000657241,33.0,2021001522631,376306,1,3,59.0,1,28,6,1993,0,0,2,200,6,600,1,1,1,6,63,1,10,2,2,24,25000,25000
294108,2021,202101,132716,2021000454214,181.0,2021001327161,376306,1,1,181.0,2,34,6,1987,0,0,7,700,6,600,2,1,1,8,81,1,10,2,6,40,70000,70000
2995117,2021,202101,1325627,2021001346541,36.0,2021013256271,4900249,1,5,37.0,2,17,6,2004,0,0,8,826,32,3200,2,1,1,5,50,3,30,1,0,0,0,0
400460,2021,202101,172147,2021000861132,31.0,2021001721471,670506,1,2,30.0,1,25,6,1996,0,0,1,100,6,600,1,2,1,6,63,1,10,2,1,4,13500,1500
43824,2021,202101,20646,2021001234502,49.0,2021000206461,230001,1,3,36.0,1,7,6,2014,0,0,1,100,12,1200,2,1,1,1,14,0,0,0,0,0,9999999,999999
983982,2021,202101,424355,2021000975319,48.0,2021004243551,90016,1,8,102.0,2,58,1,1963,1,1,1,100,4,400,2,1,1,10,101,1,10,2,2,16,6000,6000
2035551,2021,202101,898922,2021000792791,84.0,2021008989221,70236,1,1,84.0,1,70,5,1951,1,1,1,100,36,3600,2,1,2,7,71,3,30,1,0,0,45700,0
1641357,2021,202101,721870,2021010051489,14.0,2021007218701,40028,4,1,14.0,1,19,6,2002,0,0,1,100,28,2800,2,1,1,7,71,3,30,1,0,0,0,0
2298767,2021,202101,1018645,2021000769370,95.0,2021010186451,270039,1,2,111.0,2,68,1,1953,1,1,1,100,39,3900,1,1,2,6,65,3,30,1,0,0,10000,0
406756,2021,202101,174411,2021000885522,70.0,2021001744111,372206,1,5,79.0,1,71,2,1950,1,1,3,360,210,21040,1,2,2,6,63,3,30,1,1,24,96200,0
753136,2021,202101,323288,2021000635809,249.0,2021003232881,570512,1,1,250.0,1,31,1,1990,1,1,1,100,600,60014,2,1,1,10,101,1,10,2,6,40,88000,88000
3079752,2021,202101,1364161,2021001231154,83.0,2021013641611,5930851,1,3,68.0,1,45,4,1976,1,1,1,100,9,900,1,1,1,10,101,1,10,2,6,40,84800,83000
2261780,2021,202101,1002552,2021000318597,26.0,2021010025521,90939,1,2,33.0,1,65,1,1956,1,1,1,100,39,3900,1,1,2,6,65,1,10,2,6,32,30000,30000
1100030,2021,202101,475935,2021001223751,64.0,2021004759351,352617,1,2,74.0,2,71,1,1950,1,1,4,400,500,50000,1,2,2,3,30,3,30,1,0,0,27700,0
92921,2021,202101,43307,2021000684022,50.0,2021000433071,10104,1,2,46.0,2,84,1,1937,1,1,1,100,27,2700,1,1,2,2,23,3,30,1,0,0,5000,0
2797786,2021,202101,1248316,2021000476270,58.0,2021012483161,200248,1,2,47.0,2,81,1,1940,1,1,1,100,26,2600,2,1,2,6,65,3,30,1,0,0,36500,0
48610,2021,202101,22764,2021001383762,85.0,2021000227641,130101,1,2,103.0,1,62,2,1959,1,1,2,200,1,100,1,1,1,7,71,3,30,1,0,0,17800,0
1972426,2021,202101,872984,2021000319759,182.0,2021008729841,380936,1,1,182.0,2,49,1,1972,1,1,1,100,414,41400,1,2,1,10,101,1,10,2,2,6,27200,3000
2931054,2021,202101,1301034,2021001236232,66.0,2021013010341,130048,1,4,75.0,2,15,6,2006,0,0,1,100,48,4800,1,2,1,3,30,0,0,0,0,0,0,999999
3066190,2021,202101,1358507,2021001002409,122.0,2021013585071,5500251,1,1,122.0,1,37,1,1984,1,1,2,200,51,5100,2,1,1,10,101,1,10,2,6,40,92000,92000
3033494,2021,202101,1344768,2021000430152,83.0,2021013447681,5109751,1,2,74.0,2,44,4,1977,1,1,1,100,51,5100,1,2,1,6,63,1,10,2,4,52,7700,7700
938199,2021,202101,405757,2021001125244,80.0,2021004057571,230013,1,2,81.0,2,57,1,1964,1,1,1,100,25,2500,2,1,1,10,101,1,10,2,6,35,100000,100000
1617743,2021,202101,711668,2021000812088,32.0,2021007116681,20027,1,1,32.0,2,85,5,1936,1,1,1,100,27,2700,2,1,2,6,64,3,30,1,0,0,10600,0
2871475,2021,202101,1277544,2021000895562,61.0,2021012775441,462348,1,1,60.0,2,46,6,1975,0,0,2,200,36,3600,2,1,1,6,65,1,10,2,6,40,40000,40000
316156,2021,202101,140885,2021000538357,40.0,2021001408851,591106,1,8,39.0,1,19,6,2002,0,0,1,100,6,600,1,1,2,6,65,3,30,1,0,0,0,0
1516265,2021,202101,667073,2021000406574,72.0,2021006670731,290626,1,1,73.0,1,94,1,1927,1,1,1,100,26,2600,2,1,2,10,101,3,30,1,0,0,47000,0
3212332,2021,202101,1423427,2021000572775,319.0,2021014234271,150155,1,3,195.0,1,30,6,1991,0,0,1,100,55,5500,1,1,1,6,63,1,10,2,6,40,15000,15000
2517144,2021,202101,1118482,2021000920219,26.0,2021011184821,270142,1,4,16.0,1,3,6,2018,0,0,1,100,42,4200,2,1,1,1,11,0,0,0,0,0,9999999,999999
820896,2021,202101,352814,2021001130755,124.0,2021003528141,690212,1,2,70.0,2,62,1,1959,1,1,1,100,18,1800,2,1,1,6,65,1,10,2,6,32,19550,15000
111453,2021,202101,50904,2021001063600,58.0,2021000509041,11304,1,1,58.0,1,77,1,1944,1,1,1,100,50,5000,1,1,2,11,114,3,30,1,0,0,40200,0
294081,2021,202101,132703,2021000454081,82.0,2021001327031,11006,1,3,61.0,2,5,6,2016,0,0,4,400,6,600,2,1,1,0,2,0,0,0,0,0,9999999,999999
502672,2021,202101,209897,2021001251739,176.0,2021002098971,670406,1,1,176.0,2,63,1,1958,1,1,1,100,6,600,2,1,1,6,65,1,10,2,6,40,31000,31000
231773,2021,202101,109467,2021000213238,105.0,2021001094671,190406,1,4,113.0,2,12,6,2009,0,0,8,826,6,600,1,2,1,2,23,0,0,0,0,0,9999999,999999
2302641,2021,202101,1020343,2021000816994,67.0,2021010203431,460239,1,1,67.0,1,72,1,1949,1,1,1,100,19,1900,2,1,2,10,101,3,30,1,0,0,76200,0
3196262,2021,202101,1416513,2021000177629,168.0,2021014165131,5510355,1,3,45.0,1,3,6,2018,0,0,9,963,55,5500,2,1,1,0,2,0,0,0,0,0,9999999,999999
94905,2021,202101,44129,2021000725038,73.0,2021000441291,10504,1,2,72.0,2,43,1,1978,1,1,1,100,150,15000,2,1,1,11,114,1,10,2,4,60,200000,200000
2940166,2021,202101,1304609,2021001285285,32.0,2021013046091,370048,1,1,32.0,1,67,1,1954,1,1,1,100,1,100,2,1,2,10,101,3,30,1,0,0,29700,0
836228,2021,202101,359480,2021001243102,137.0,2021003594801,350012,1,1,137.0,1,58,1,1963,1,1,1,100,18,1800,2,1,1,10,101,1,10,2,6,50,50000,50000
1435285,2021,202101,630398,2021000376760,189.0,2021006303981,330525,1,1,190.0,1,59,4,1962,1,1,2,200,25,2500,2,1,1,6,65,3,30,1,0,0,56000,0
1577850,2021,202101,693556,2021001324232,35.0,2021006935561,140026,1,4,39.0,2,7,6,2014,0,0,1,100,26,2600,2,1,1,1,15,0,0,0,0,0,9999999,999999
1509848,2021,202101,664286,2021000307849,72.0,2021006642861,180226,1,1,71.0,1,45,1,1976,1,1,2,200,26,2600,2,1,1,7,71,1,10,2,6,40,20000,20000
3234080,2021,202101,1432808,2021001104173,108.0,2021014328081,90055,1,1,108.0,2,69,4,1952,1,1,1,100,55,5500,2,1,2,8,81,1,10,2,1,4,57200,2700
1037885,2021,202101,449831,2021000498752,26.0,2021004498311,50117,1,2,33.0,1,34,1,1987,1,1,1,100,29,2900,2,1,1,10,101,1,14,2,6,50,76000,76000
1903067,2021,202101,837111,2021000278544,95.0,2021008371111,80335,1,1,95.0,1,24,6,1997,0,0,8,856,35,3500,1,1,1,6,65,1,10,2,6,40,29000,0
